a1_mO_w1_k1_dZ,0.735351
a1_mO_w1_k1_dID,N/A
a1_mO_w1_k1_dIL,N/A
a1_mO_w1_k3_dZ,0.735351
a1_mO_w1_k3_dID,N/A
a1_mO_w1_k3_dIL,N/A
a1_mO_w1_k5_dZ,0.735351
a1_mO_w1_k5_dID,N/A
a1_mO_w1_k5_dIL,N/A
a1_mO_w2_k1_dZ,0.735351
a1_mO_w2_k1_dID,N/A
a1_mO_w2_k1_dIL,N/A
a1_mO_w2_k3_dZ,0.735351
a1_mO_w2_k3_dID,N/A
a1_mO_w2_k3_dIL,N/A
a1_mO_w2_k5_dZ,0.735351
a1_mO_w2_k5_dID,N/A
a1_mO_w2_k5_dIL,N/A
a1_mO_w3_k1_dZ,0.735351
a1_mO_w3_k1_dID,N/A
a1_mO_w3_k1_dIL,N/A
a1_mO_w3_k3_dZ,0.735351
a1_mO_w3_k3_dID,N/A
a1_mO_w3_k3_dIL,N/A
a1_mO_w3_k5_dZ,0.735351
a1_mO_w3_k5_dID,N/A
a1_mO_w3_k5_dIL,N/A
a1_mO_w4_k1_dZ,0.735351
a1_mO_w4_k1_dID,N/A
a1_mO_w4_k1_dIL,N/A
a1_mO_w4_k3_dZ,0.735351
a1_mO_w4_k3_dID,N/A
a1_mO_w4_k3_dIL,N/A
a1_mO_w4_k5_dZ,0.735351
a1_mO_w4_k5_dID,N/A
a1_mO_w4_k5_dIL,N/A
a1_mO_w5_k1_dZ,0.734707
a1_mO_w5_k1_dID,N/A
a1_mO_w5_k1_dIL,N/A
a1_mO_w5_k3_dZ,0.734707
a1_mO_w5_k3_dID,N/A
a1_mO_w5_k3_dIL,N/A
a1_mO_w5_k5_dZ,0.734707
a1_mO_w5_k5_dID,N/A
a1_mO_w5_k5_dIL,N/A
a1_mM_w1_k1_dZ,N/A
a1_mM_w1_k1_dID,N/A
a1_mM_w1_k1_dIL,N/A
a1_mM_w1_k3_dZ,N/A
a1_mM_w1_k3_dID,N/A
a1_mM_w1_k3_dIL,N/A
a1_mM_w1_k5_dZ,N/A
a1_mM_w1_k5_dID,N/A
a1_mM_w1_k5_dIL,N/A
a1_mM_w2_k1_dZ,N/A
a1_mM_w2_k1_dID,N/A
a1_mM_w2_k1_dIL,N/A
a1_mM_w2_k3_dZ,N/A
a1_mM_w2_k3_dID,N/A
a1_mM_w2_k3_dIL,N/A
a1_mM_w2_k5_dZ,N/A
a1_mM_w2_k5_dID,N/A
a1_mM_w2_k5_dIL,N/A
a1_mM_w3_k1_dZ,N/A
a1_mM_w3_k1_dID,N/A
a1_mM_w3_k1_dIL,N/A
a1_mM_w3_k3_dZ,N/A
a1_mM_w3_k3_dID,N/A
a1_mM_w3_k3_dIL,N/A
a1_mM_w3_k5_dZ,N/A
a1_mM_w3_k5_dID,N/A
a1_mM_w3_k5_dIL,N/A
a1_mM_w4_k1_dZ,N/A
a1_mM_w4_k1_dID,N/A
a1_mM_w4_k1_dIL,N/A
a1_mM_w4_k3_dZ,N/A
a1_mM_w4_k3_dID,N/A
a1_mM_w4_k3_dIL,N/A
a1_mM_w4_k5_dZ,N/A
a1_mM_w4_k5_dID,N/A
a1_mM_w4_k5_dIL,N/A
a1_mM_w5_k1_dZ,N/A
a1_mM_w5_k1_dID,N/A
a1_mM_w5_k1_dIL,N/A
a1_mM_w5_k3_dZ,N/A
a1_mM_w5_k3_dID,N/A
a1_mM_w5_k3_dIL,N/A
a1_mM_w5_k5_dZ,N/A
a1_mM_w5_k5_dID,N/A
a1_mM_w5_k5_dIL,N/A
a1_mJ_w1_k1_dZ,N/A
a1_mJ_w1_k1_dID,N/A
a1_mJ_w1_k1_dIL,N/A
a1_mJ_w1_k3_dZ,N/A
a1_mJ_w1_k3_dID,N/A
a1_mJ_w1_k3_dIL,N/A
a1_mJ_w1_k5_dZ,N/A
a1_mJ_w1_k5_dID,N/A
a1_mJ_w1_k5_dIL,N/A
a1_mJ_w2_k1_dZ,N/A
a1_mJ_w2_k1_dID,N/A
a1_mJ_w2_k1_dIL,N/A
a1_mJ_w2_k3_dZ,N/A
a1_mJ_w2_k3_dID,N/A
a1_mJ_w2_k3_dIL,N/A
a1_mJ_w2_k5_dZ,N/A
a1_mJ_w2_k5_dID,N/A
a1_mJ_w2_k5_dIL,N/A
a1_mJ_w3_k1_dZ,N/A
a1_mJ_w3_k1_dID,N/A
a1_mJ_w3_k1_dIL,N/A
a1_mJ_w3_k3_dZ,N/A
a1_mJ_w3_k3_dID,N/A
a1_mJ_w3_k3_dIL,N/A
a1_mJ_w3_k5_dZ,N/A
a1_mJ_w3_k5_dID,N/A
a1_mJ_w3_k5_dIL,N/A
a1_mJ_w4_k1_dZ,N/A
a1_mJ_w4_k1_dID,N/A
a1_mJ_w4_k1_dIL,N/A
a1_mJ_w4_k3_dZ,N/A
a1_mJ_w4_k3_dID,N/A
a1_mJ_w4_k3_dIL,N/A
a1_mJ_w4_k5_dZ,N/A
a1_mJ_w4_k5_dID,N/A
a1_mJ_w4_k5_dIL,N/A
a1_mJ_w5_k1_dZ,N/A
a1_mJ_w5_k1_dID,N/A
a1_mJ_w5_k1_dIL,N/A
a1_mJ_w5_k3_dZ,N/A
a1_mJ_w5_k3_dID,N/A
a1_mJ_w5_k3_dIL,N/A
a1_mJ_w5_k5_dZ,N/A
a1_mJ_w5_k5_dID,N/A
a1_mJ_w5_k5_dIL,N/A
a1_mS_w1_k1_dZ,N/A
a1_mS_w1_k1_dID,N/A
a1_mS_w1_k1_dIL,N/A
a1_mS_w1_k3_dZ,N/A
a1_mS_w1_k3_dID,N/A
a1_mS_w1_k3_dIL,N/A
a1_mS_w1_k5_dZ,N/A
a1_mS_w1_k5_dID,N/A
a1_mS_w1_k5_dIL,N/A
a1_mS_w2_k1_dZ,N/A
a1_mS_w2_k1_dID,N/A
a1_mS_w2_k1_dIL,N/A
a1_mS_w2_k3_dZ,N/A
a1_mS_w2_k3_dID,N/A
